URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context (4),Context (5),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Has type,Collection Type,Recorded by,Chronotype,Material,Period,Find Color,Fabric group,Extant Part,Un,Comments,Date Read,Quantity,Reader Number,Weight,Duration,End date,Start date
http://opencontext.org/subjects/8C2A609B-B20B-4526-A7DB-C8E032757744,https://n2t.net/ark:/28722/k2tx3712t,Batch 131 (exp),Pyla-Koutsopetria Archaeological Project I: Pedestrian Survey,http://opencontext.org/projects/3F6DCD13-A476-488E-ED10-47D25513FCB2,Cyprus,PKAP Survey Area,Vigla,Unit 501,,http://opencontext.org/subjects/C3EDBDC2-6B6B-4885-BEA5-16F8E75B5881,34.9837667,33.70620921,300,749,Sample,2013-10-25T00:00:00Z,2018-05-31T23:28:35Z,,Survey,R. Scott Moore,"Coarse Ware, Roman Late",pottery,"Roman, Late",coarse orange,coarse,rim,501.1_131_1,BARL? Droopy rim?,,4,1,233,449,749,300
http://opencontext.org/subjects/636D6826-BCBD-4713-A2D4-79439239E754,https://n2t.net/ark:/28722/k2s17vn51,Batch 17,Pyla-Koutsopetria Archaeological Project I: Pedestrian Survey,http://opencontext.org/projects/3F6DCD13-A476-488E-ED10-47D25513FCB2,Cyprus,PKAP Survey Area,Dhekeleia,Unit 223,,http://opencontext.org/subjects/8E773523-4391-4A86-BB6E-96733D83FA8C,34.98573161,33.71392299,300,749,Sample,2013-10-25T00:00:00Z,2018-05-31T23:33:38Z,Late Roman 1 Amphora; amphora,Survey,R. Scott Moore,"Amphora, Late Roman 1",pottery,"Roman, Late",orange,amphora,handle,223_17_1,,,7,1,547,449,749,300
http://opencontext.org/subjects/CA8C3EE0-0F09-4411-4542-526AEAB60CD2,FALSE,Batch 19,Pyla-Koutsopetria Archaeological Project I: Pedestrian Survey,http://opencontext.org/projects/3F6DCD13-A476-488E-ED10-47D25513FCB2,Cyprus,PKAP Survey Area,West Pyla,Unit 546,,http://opencontext.org/subjects/34C7E1EC-F44D-4FD1-63C9-4629F27B36F5,34.98076417,33.70071766,300,749,Sample,2013-10-25T00:00:00Z,2018-05-31T22:33:12Z,Late Roman 1 Amphora; amphora,Survey,R. Scott Moore,"Amphora, Late Roman 1",pottery,"Roman, Late",orange,amphora,handle,546_19_1,,,5,1,267,449,749,300
http://opencontext.org/subjects/622BEE81-FC52-4335-98C9-E08D92AE398D,https://n2t.net/ark:/28722/k2p55g99m,Batch 140 (exp),Pyla-Koutsopetria Archaeological Project I: Pedestrian Survey,http://opencontext.org/projects/3F6DCD13-A476-488E-ED10-47D25513FCB2,Cyprus,PKAP Survey Area,Vigla,Unit 501,,http://opencontext.org/subjects/C3EDBDC2-6B6B-4885-BEA5-16F8E75B5881,34.9837667,33.70620921,-474,-312,Sample,2013-10-25T00:00:00Z,2018-05-31T22:22:03Z,,Survey,R. Scott Moore,"Black Glazed, Attic, Classical",pottery,Classical,fine pink,fine,handle,501.1_140_1,skyphos handle,,2,1,24,162,0,0
http://opencontext.org/subjects/58920419-0245-46EF-22D8-314455F95CA8,https://n2t.net/ark:/28722/k29c6tv32,Batch 7 (exp),Pyla-Koutsopetria Archaeological Project I: Pedestrian Survey,http://opencontext.org/projects/3F6DCD13-A476-488E-ED10-47D25513FCB2,Cyprus,PKAP Survey Area,Vigla,Unit 501,,http://opencontext.org/subjects/C3EDBDC2-6B6B-4885-BEA5-16F8E75B5881,34.9837667,33.70620921,-750,-100,Sample,2013-10-25T00:00:00Z,2018-05-31T21:59:01Z,,Survey,R. Scott Moore,"Storage, Archaic Basket Handle",pottery,Archaic-Hellenistic,coarse buff,coarse,handle,501.1_7_1,,,2,1,500,650,0,0
http://opencontext.org/subjects/EC9D2A24-5D58-4099-EFBD-2EB55EBF8062,https://n2t.net/ark:/28722/k22j69z85,Batch 46,Pyla-Koutsopetria Archaeological Project I: Pedestrian Survey,http://opencontext.org/projects/3F6DCD13-A476-488E-ED10-47D25513FCB2,Cyprus,PKAP Survey Area,Paleokastro,Unit 51,,http://opencontext.org/subjects/823F2474-5DD3-4DC5-3657-EAAD011E3110,34.98070511,33.70993569,300,749,Sample,2013-10-25T00:00:00Z,2018-05-31T23:33:44Z,,Survey,R. Scott Moore,Cypriot Red Slip 9,pottery,"Roman, Late",purple,fine,rim,51_46_1,W.173 (9B),,1,1,19,449,749,300
http://opencontext.org/subjects/F6A912DD-4379-4D11-FCAF-3810B27CC255,https://n2t.net/ark:/28722/k25h7dp3c,Batch 52,Pyla-Koutsopetria Archaeological Project I: Pedestrian Survey,http://opencontext.org/projects/3F6DCD13-A476-488E-ED10-47D25513FCB2,Cyprus,PKAP Survey Area,Paleokastro,Unit 70,,http://opencontext.org/subjects/BFC1C6DC-6C63-4271-51AD-96F6F3C50920,34.98251607,33.70863644,300,749,Sample,2013-10-25T00:00:00Z,2018-05-31T22:00:49Z,,Survey,R. Scott Moore,Phocaean Ware 3,pottery,"Roman, Late",orange,fine,rim,70_52_1,CF C-246,,1,1,14,449,749,300
http://opencontext.org/subjects/BC49C2B6-725D-497F-B2C0-5E9B0FE88FE3,https://n2t.net/ark:/28722/k2gt5hb19,Batch 24,Pyla-Koutsopetria Archaeological Project I: Pedestrian Survey,http://opencontext.org/projects/3F6DCD13-A476-488E-ED10-47D25513FCB2,Cyprus,PKAP Survey Area,Kokkinokremos Plain,Unit 240,,http://opencontext.org/subjects/7D230DAD-B039-4C29-EA60-A984FDD37067,34.98501282,33.71347855,300,749,Sample,2013-10-25T00:00:00Z,2018-05-31T22:36:03Z,Late Roman 1 Amphora; amphora,Survey,R. Scott Moore,"Amphora, Late Roman 1",pottery,"Roman, Late",orange,amphora,handle,240_24_1,,,3,1,220,449,749,300
http://opencontext.org/subjects/ADCF86C4-28EE-4198-3A55-CA8E84CB0930,https://n2t.net/ark:/28722/k2zs2n79b,Batch 33,Pyla-Koutsopetria Archaeological Project I: Pedestrian Survey,http://opencontext.org/projects/3F6DCD13-A476-488E-ED10-47D25513FCB2,Cyprus,PKAP Survey Area,Paleokastro,Unit 65,,http://opencontext.org/subjects/6DEE1431-C403-458C-804E-0B3FDE872F41,34.98252871,33.70644533,300,749,Sample,2013-10-25T00:00:00Z,2018-05-31T22:07:33Z,Late Roman 1 Amphora; amphora,Survey,R. Scott Moore,"Amphora, Late Roman 1",pottery,"Roman, Late",orange,amphora,handle,65_33_1,,,1,1,230,449,749,300
http://opencontext.org/subjects/C46F158B-5153-4684-DD02-EFCE8FEF4D7E,https://n2t.net/ark:/28722/k2sb3zs45,Batch 74 (exp),Pyla-Koutsopetria Archaeological Project I: Pedestrian Survey,http://opencontext.org/projects/3F6DCD13-A476-488E-ED10-47D25513FCB2,Cyprus,PKAP Survey Area,Vigla,Unit 501,,http://opencontext.org/subjects/C3EDBDC2-6B6B-4885-BEA5-16F8E75B5881,34.9837667,33.70620921,-474,-100,Sample,2013-10-25T00:00:00Z,2018-05-31T21:50:34Z,,Survey,R. Scott Moore,"Coarse Ware, Classical-Hellenistic",pottery,Classical-Hellenistic,coarse orange,coarse,body sherd,501.1_74_1,,,1,1,111,374,0,0
